#{"t_start": 1733170565.426464, "env_id": "None"}
r,l,t
-13.59,31,80.455972
-13.66,36,80.939844
-17.0,29,81.028072
-13.16,41,81.167221
-13.52,41,81.30488
-14.0,37,81.435258
7.166078,36,81.550724
-16.82,43,81.683404
-16.52,38,81.797916
-11.0,67,82.013307
-8.0,41,82.145631
-8.0,58,82.329315
-19.72,19,82.403956
-11.0,36,82.516819
-10.31,38,82.645995
-13.29,26,82.739522
7.443709,35,82.850371
-13.71,34,82.952814
-7.69,25,83.014337
-14.0,24,83.068105
-13.78,43,83.163218
-8.0,28,83.242792
-20.0,21,83.296599
-13.35,34,83.395921
-13.69,39,83.51321
-10.77,27,83.594016
-7.76,29,83.677203
-19.15,22,83.738322
-7.9,42,83.850402
7.091912,58,84.022094
-16.14,39,84.13972
-8.0,42,84.278805
10.410448,66,84.510859
-19.07,34,84.615475
-13.11,28,84.70042
-13.96,67,84.857315
-19.02,26,84.917832
-10.89,50,85.037038
-16.3,43,85.149912
-13.48,43,85.275613
7.283784,83,85.523825
-16.64,30,85.621684
-16.76,26,85.708284
-13.02,25,85.777062
-10.48,24,85.849857
12.411427,34,85.963065
12.604527,50,86.115485
7.866667,56,86.3067
-13.1,40,86.447222
-19.25,22,86.515075
-13.17,30,86.609376
-11.0,38,86.726719
-16.52,23,86.796662
9.991976,20,86.862263
-10.32,98,87.135152
7.903475,24,87.223342
-7.32,45,87.365433
-15.85,85,87.547875
13.174156,43,87.685611
-14.0,38,87.792686
-10.81,44,87.970096
-7.48,48,88.143975
-10.85,34,88.253313
-14.0,20,88.318895
-11.0,59,88.489777
-10.62,50,88.674442
8.0,64,88.88818
-23.0,17,88.957283
-7.14,38,89.083096
-10.46,23,89.156214
-16.37,78,89.405654
-16.3,19,89.469712
-16.51,34,89.584504
7.438462,28,89.677234
-13.94,89,89.938383
10.268152,38,90.06144
-13.45,51,90.234546
-13.87,25,90.326627
13.412088,41,90.455886
-11.0,43,90.595482
-16.66,41,90.722944
-8.0,22,90.795173
-19.24,36,90.911971
-16.8,28,91.019375
-10.51,39,91.132486
7.444805,31,91.227321
-10.43,35,91.34158
-7.52,33,91.457898
-7.18,45,91.609309
-17.0,46,91.739284
-16.8,29,91.827409
-17.0,67,92.026083
7.527273,30,92.126584
-7.68,47,92.233735
-10.86,42,92.333957
-14.0,66,92.502211
-10.81,39,92.619815
-13.2,66,92.845756
-19.99,44,93.000008
-13.78,29,93.095508
19.15261,15,93.155138
-16.85,20,93.212585
-11.0,23,93.26946
-10.72,29,93.341419
-7.76,45,93.474055
10.520833,31,93.578324
-7.6,29,93.672496
7.646209,35,93.775625
-14.0,26,93.850143
-16.78,24,93.928742
-7.37,37,94.032615
-7.25,46,94.166969
7.431973,44,94.299379
